2025-12-08 21:35:24 PKT LOG:  database system was interrupted; last known up at 2025-12-08 18:39:22 PKT
2025-12-08 21:35:25 PKT LOG:  database system was not properly shut down; automatic recovery in progress
2025-12-08 21:35:25 PKT LOG:  redo starts at 0/235F2F0
2025-12-08 21:35:25 PKT LOG:  invalid record length at 0/235F3F8: expected at least 24, got 0
2025-12-08 21:35:25 PKT LOG:  redo done at 0/235F3C0 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-12-08 21:35:25 PKT LOG:  checkpoint starting: end-of-recovery immediate wait
2025-12-08 21:35:25 PKT LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.005 s, total=0.021 s; sync files=2, longest=0.003 s, average=0.003 s; distance=0 kB, estimate=0 kB; lsn=0/235F3F8, redo lsn=0/235F3F8
2025-12-08 22:53:41 PKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-12-08 22:53:41 PKT LOG:  checkpoint starting: immediate force wait
2025-12-08 22:53:41 PKT LOG:  checkpoint complete: wrote 6 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.008 s, total=0.023 s; sync files=6, longest=0.002 s, average=0.002 s; distance=4553 kB, estimate=4553 kB; lsn=0/27D1BB0, redo lsn=0/27D1B58
2025-12-08 22:53:42 PKT LOG:  checkpoint starting: immediate force wait
2025-12-08 22:53:42 PKT LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.005 s, total=0.024 s; sync files=4, longest=0.002 s, average=0.002 s; distance=4554 kB, estimate=4554 kB; lsn=0/2C44490, redo lsn=0/2C44438
2025-12-08 22:55:00 PKT ERROR:  table "_prisma_migrations" does not exist
2025-12-08 22:55:00 PKT STATEMENT:  DROP TABLE _prisma_migrations
2025-12-08 22:55:00 PKT LOG:  checkpoint starting: immediate force wait
2025-12-08 22:55:00 PKT LOG:  checkpoint complete: wrote 53 buffers (0.3%); 0 WAL file(s) added, 0 removed, 1 recycled; write=0.011 s, sync=0.050 s, total=0.081 s; sync files=42, longest=0.002 s, average=0.002 s; distance=4829 kB, estimate=4829 kB; lsn=0/30FBA28, redo lsn=0/30FB9D0
2025-12-08 22:55:07 PKT LOG:  checkpoint starting: immediate force wait
2025-12-08 22:55:07 PKT LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.005 s, total=0.017 s; sync files=4, longest=0.002 s, average=0.002 s; distance=4554 kB, estimate=4801 kB; lsn=0/356E540, redo lsn=0/356E4E8
2025-12-08 22:55:08 PKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-12-08 23:00:07 PKT LOG:  checkpoint starting: time
