2025-12-12 12:15:37 PKT LOG:  database system was shut down at 2025-12-11 22:47:03 PKT
2025-12-12 12:19:50 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 12:19:50 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 12:19:54 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 12:19:54 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 12:20:37 PKT LOG:  checkpoint starting: time
2025-12-12 12:20:37 PKT LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.009 s, sync=0.004 s, total=0.075 s; sync files=2, longest=0.002 s, average=0.002 s; distance=0 kB, estimate=0 kB; lsn=0/5E1B260, redo lsn=0/5E1B208
2025-12-12 12:21:36 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 12:21:36 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 12:24:55 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 12:24:55 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 12:26:36 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 12:26:36 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 12:29:55 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 12:29:55 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 12:31:36 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 12:31:36 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 12:34:01 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 12:34:01 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 12:34:55 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 12:34:55 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 12:57:25 PKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-12-12 14:02:02 PKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-12-12 14:08:16 PKT ERROR:  relation "public.subscribers" does not exist at character 63
2025-12-12 14:08:16 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."subscribers"."id" FROM "public"."subscribers" WHERE "public"."subscribers"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 14:08:16 PKT ERROR:  relation "public.bookings" does not exist at character 60
